[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:710: CD274 Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:716: CDK4 Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:720: CDKN2A Deletion
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:722: CDKN2C Deletion
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:723: CDKN2C Deletion
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:724: CRKL Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:725: EGFR Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:726: ERBB2 Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:744: ESR1 Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:745: FBXW7 Deletion
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:746: FGFR1 Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:750: FGFR2 Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:754: HIF1a Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:755: KEAP1 Deletion
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:756: KIT Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:757: MDM2 Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:758: MET Amplification
[2022-09-13 09:12:04,356] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:762: MIR17HG Amplification
