Hugo_Symbol	TARGET-52-NAAELV-50	TARGET-52-NAAELY-50	TARGET-52-NAAELZ-50	TARGET-52-PABKLN-01	TARGET-52-PADYZI-01	TARGET-52-PAJLWM-01	TARGET-52-PAJMRB-01	TARGET-52-PAJNER-01	TARGET-52-PAJNFP-01	TARGET-52-PAJNFZ-01	TARGET-52-PAKHTL-01	TARGET-52-PARECB-01	TARGET-52-PARGRN-01	TARGET-52-PARIRN-01	TARGET-52-PARPFY-01	TARGET-52-PARRCL-01	TARGET-52-PARUGK-01	TARGET-52-PARZBI-01	TARGET-52-PASABD-01	TARGET-52-PASADZ-01	TARGET-52-PASCDH-01	TARGET-52-PASDLA-01	TARGET-52-PASRHU-01	TARGET-52-PASVDP-01	TARGET-52-PASWZZ-01	TARGET-52-PASXNA-01	TARGET-52-PASYNF-01	TARGET-52-PASZYE-01	TARGET-52-PATAFT-01	TARGET-52-PATBLF-01	TARGET-52-PATDVL-01	TARGET-52-PATENH-01	TARGET-52-PATFXW-01	TARGET-52-PATFZZ-01	TARGET-52-PATXEE-01	TARGET-52-PATXKA-01	TARGET-52-PAUCGJ-01	TARGET-52-PAUDPV-01	TARGET-52-PAUEKW-01	TARGET-52-PAUFVP-01	TARGET-52-PAUGYZ-01	TARGET-52-PAUHAZ-01	TARGET-52-PAUNPA-01
hsa-mir-600	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	4.8937	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	2.1998	-0.3284	1.3507	-0.3284	-0.3284	-0.3284	-0.3284	1.7509	2.2856	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284	-0.3284
hsa-mir-601	-0.1543	-0.1543	-0.1543	-0.1543	6.4807	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543
hsa-mir-602	0.7812	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	4.7434	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	-0.2894	2.7939	-0.2894	-0.2894	-0.2894	2.9694
hsa-mir-603	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	2.8191	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	4.9716	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	2.7493	-0.2635	-0.2635	-0.2635	-0.2635
hsa-mir-604	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	6.4807	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543
hsa-mir-605	5.7502	-0.4069	-0.3702	-0.4326	-0.3243	-0.4326	-0.1566	-0.3641	-0.27	-0.0945	-0.2619	-0.363	-0.2124	-0.4326	-0.4326	0.2081	-0.3384	0.2847	-0.3892	-0.3079	0.9585	-0.4326	-0.4326	1.0892	-0.3513	-0.3326	-0.4326	-0.1259	-0.2531	-0.4326	-0.2085	0.9609	-0.3832	-0.4326	-0.2729	0.0058	-0.364	-0.369	0.5117	-0.3477	-0.3524	1.5629	-0.2187
hsa-mir-606	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-6068	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-6069	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-607	4.6767	0.6953	1.3458	-0.1734	-0.3745	-0.3921	-0.4801	-0.4846	-1.0747	-0.5892	0.3963	-0.7749	1.7712	0.7961	-0.0122	0.1083	1.3598	0.1139	-1.0747	0.5367	-0.7751	-0.3696	0.4401	-0.1381	-0.374	-0.6437	-0.8869	0.2469	0.2785	-0.3457	0.1321	-0.6459	-0.8618	0.7829	0.6459	0.0047	0.1075	-0.8006	-0.7842	-0.5261	-1.0747	0.2931	-1.0747
hsa-mir-6070	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-6071	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-6072	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-6073	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
